IP:PORT, LOSS, DELAY
162.159.192.122:2408,100.00%,1000 ms
162.159.192.120:2408,100.00%,1000 ms
162.159.192.187:1018,100.00%,1000 ms
162.159.192.12:1018,100.00%,1000 ms
162.159.192.120:1018,100.00%,1000 ms
162.159.192.12:2408,100.00%,1000 ms
162.159.192.179:2408,100.00%,1000 ms
162.159.192.134:1018,100.00%,1000 ms
162.159.192.175:1018,100.00%,1000 ms
162.159.192.134:2408,100.00%,1000 ms
162.159.192.122:1018,100.00%,1000 ms
162.159.192.126:2408,100.00%,1000 ms
162.159.192.126:1018,100.00%,1000 ms
162.159.195.61:2408,100.00%,1000 ms
162.159.192.175:2408,100.00%,1000 ms
162.159.192.179:1018,100.00%,1000 ms
162.159.192.187:2408,100.00%,1000 ms
162.159.193.5:2408,100.00%,1000 ms
162.159.193.84:1018,100.00%,1000 ms
162.159.193.79:2408,100.00%,1000 ms
162.159.195.53:2408,100.00%,1000 ms
188.114.97.155:1018,100.00%,1000 ms
188.114.98.200:1018,100.00%,1000 ms
162.159.193.83:1018,100.00%,1000 ms
162.159.195.31:1018,100.00%,1000 ms
162.159.195.28:1018,100.00%,1000 ms
188.114.98.22:1018,100.00%,1000 ms
188.114.98.129:2408,100.00%,1000 ms
162.159.192.47:1018,100.00%,1000 ms
162.159.193.83:2408,100.00%,1000 ms
162.159.195.31:2408,100.00%,1000 ms
162.159.192.41:2408,100.00%,1000 ms
162.159.193.79:1018,100.00%,1000 ms
188.114.98.22:2408,100.00%,1000 ms
162.159.195.28:2408,100.00%,1000 ms
188.114.98.200:2408,100.00%,1000 ms
162.159.193.84:2408,100.00%,1000 ms
162.159.193.143:2408,100.00%,1000 ms
162.159.195.134:1018,100.00%,1000 ms
188.114.98.38:1018,100.00%,1000 ms
188.114.98.78:1018,100.00%,1000 ms
162.159.193.137:2408,100.00%,1000 ms
188.114.97.31:2408,100.00%,1000 ms
188.114.96.91:2408,100.00%,1000 ms
188.114.98.117:2408,100.00%,1000 ms
162.159.195.250:2408,100.00%,1000 ms
188.114.98.73:1018,100.00%,1000 ms
162.159.195.134:2408,100.00%,1000 ms
188.114.99.110:1018,100.00%,1000 ms
162.159.195.219:2408,100.00%,1000 ms
188.114.98.97:1018,100.00%,1000 ms
188.114.98.255:2408,100.00%,1000 ms
162.159.192.191:1018,100.00%,1000 ms
162.159.195.116:2408,100.00%,1000 ms
188.114.97.83:2408,100.00%,1000 ms
162.159.192.87:1018,100.00%,1000 ms
162.159.193.220:2408,100.00%,1000 ms
162.159.192.87:2408,100.00%,1000 ms
188.114.98.69:1018,100.00%,1000 ms
188.114.97.112:1018,100.00%,1000 ms
188.114.97.21:2408,100.00%,1000 ms
162.159.195.217:1018,100.00%,1000 ms
188.114.97.138:2408,100.00%,1000 ms
188.114.98.74:2408,100.00%,1000 ms
162.159.195.217:2408,100.00%,1000 ms
188.114.98.120:2408,100.00%,1000 ms
188.114.96.97:1018,100.00%,1000 ms
188.114.98.129:1018,100.00%,1000 ms
162.159.193.192:2408,100.00%,1000 ms
162.159.195.184:1018,100.00%,1000 ms
162.159.193.113:1018,100.00%,1000 ms
188.114.96.46:2408,100.00%,1000 ms
188.114.98.74:1018,100.00%,1000 ms
188.114.96.215:1018,100.00%,1000 ms
162.159.193.131:2408,100.00%,1000 ms
188.114.99.171:2408,100.00%,1000 ms
188.114.97.255:1018,100.00%,1000 ms
162.159.192.209:1018,100.00%,1000 ms
188.114.96.150:2408,100.00%,1000 ms
188.114.96.186:1018,100.00%,1000 ms
162.159.193.111:2408,100.00%,1000 ms
188.114.97.57:1018,100.00%,1000 ms
188.114.97.195:2408,100.00%,1000 ms
188.114.96.68:2408,100.00%,1000 ms
188.114.97.21:1018,100.00%,1000 ms
188.114.96.215:2408,100.00%,1000 ms
188.114.98.120:1018,100.00%,1000 ms
188.114.96.91:1018,100.00%,1000 ms
188.114.98.69:2408,100.00%,1000 ms
188.114.98.39:1018,100.00%,1000 ms
188.114.96.75:1018,100.00%,1000 ms
